ID,Labels,Description,RGB
0,0,Unknown,[0 0 0]
1,"2, 41",White matter of cerebral hemispheres,"[225 225 225], [0 225 0]"
2,"3, 42",Cortex of cerebral hemispheres,[205 62 78]
3,"4, 43",Lateral ventricles,[120 18 134]
4,"5, 44",Temporal horn of lateral ventricles,[196 58 250]
5,"7, 46",White matter of hemispheres of cerebellum,[220 248 164]
6,"8, 47",Cerebellar cortex,[230 148 34]
7,"10, 48, 49",Thalamus,[0 118 14]
8,"11, 50",Caudate nucleus,[122 186 220]
9,"12, 51",Putamen,[236 13 176]
10,"13, 52",Globus pallidus,"[12 48 255], [255 48 255]"
11,14,Third ventricle,[204 182 142]
12,15,Fourth ventricle,[42 204 164]
13,16,Brainstem,[119 159 176]
14,"17, 53",Hippocampus,[220 216 20]
15,"18, 54",Amygdala,[103 255 255]
16,24,Cerebrospinal fluid,[60 60 60]
17,"26, 58",Nucleus accumbens,[255 165 0]
18,"28, 60",Ventral diencephalon,[165 42 42]
19,"29, 61",Undetermined,[135 206 235]
20,"30, 62",Vessel,[160 32 240]
21,72,Septum pellucidum,[120 190 150]
22,"73, 74",Thin cerebral white matter,[240 240 240]
